Life_S,n,mean,sd,median,IQR
Gam/Tetra,27,35.185770314223696,8.502419658583548,34.0868831449488,12.547714931824842
Carp,10,36.20890766818764,7.670792042189586,37.419278498482555,11.5763762388641
Unknown,3,28.3349557017945,1.654734134428355,27.6738163634424,1.552519287192549
