Life_S,n,mean,sd,median,IQR
Gam/Tetra,11,81.30906707425127,12.92165295892304,81.3442851269022,13.2963170818836
Carp,2,90.88189244053265,8.517073540926367,90.88189244053265,6.022480456653568
Unknown,3,73.55912973748113,5.16681275446982,70.9011499170894,4.625722807902008
