SAMPLE,GROUP,Kappa_Index,Iota_Index,Lambda_Index
Lab_02,Mendieta C,0.703027139874739,0.5683716075156576,1.1017745302713988
Lab_03,Mendieta C,0.7265264238070805,0.5654181631605952,1.0790148794253465
Lab_08,Concession,0.6590389016018307,0.5707093821510298,1.1121281464530894
Lab_09,Concession,0.6754187415119963,0.5613399728383883,1.0900860117700315
Lab_10,Mendieta F,0.6830801466736511,0.6359350445259297,1.2231534834992144
Lab_11,Mendieta F,0.7413617886178862,0.6290650406504065,1.2123983739837396
Lab_12,Mendieta F,0.2571428571428571,0.10498338870431895,0.39933554817275746
Lab_13,7H,0.3896457765667575,0.09718437783832878,0.187102633969119
Lab_16,7H,0.6990898748577928,0.6331058020477814,1.2360637087599542
Lab_17,7H,0.7935656836461127,0.7372654155495979,1.390527256478999
Lab_19,7H,0.7067615658362989,0.590035587188612,1.1416370106761566
Lab_20,Powder Ilo,0.7133956386292837,0.590342679127726,1.1300623052959504
Lab_21,Powder Ilo,0.6527777777777779,0.5123456790123456,0.9737654320987654
Lab_22,Powder Ilo,0.75,0.6357142857142857,1.212987012987013
standard,standard,0.7853535353535354,0.3969696969696969,0.9267676767676766
