region,n,mean,sd,median,IQR
Paracas,11,0.2821853590909091,0.10313054631689053,0.278283867,0.086008362
Marcona,7,0.47066832385714286,0.12325165895874873,0.509821074,0.15145677600000002
Ilo,3,0.6554082523333333,0.04820183744313701,0.644241302,0.04722172749999998
