Location,n,mean,sd,median,IQR
Mendieta,6,164.87335607835385,23.048621568268285,163.25124280977576,19.08765256371231
Concession,3,144.62599695931678,18.419464368231516,135.70166635635258,16.71956668335929
7H,4,182.30222951189597,24.601957533590106,184.02412369205436,28.873902926164106
Powder Ilo,3,147.11825947496231,10.333625508939678,141.80229983417888,9.251445615804045
