Life_S,n,mean,sd,median,IQR
Tetra,2,78.71874151004197,3.713079391565843,78.71874151004197,2.6255436168602273
Carp,2,90.88189244053265,8.517073540926367,90.88189244053265,6.022480456653568
Gam,2,84.63136506347317,26.08809272596513,84.63136506347317,18.447067274753394
Gam/Tetra,7,81.09993209567615,12.513423114608964,81.90695768287358,13.296317081883572
Unknown,3,73.55912973748116,5.166812754469839,70.90114991708944,4.625722807902022
