Life_S,n,mean,sd,median,IQR
Tetra,3,0.2719927447209744,0.19464901429297182,0.2839165270924811,0.19437491177025204
Carp,5,0.4615115407782004,0.10476845523129062,0.44430257074150037,0.005745031286810032
Gam,4,0.272193450579563,0.188334755818128,0.24932158627281015,0.1567129144948101
Gam/Tetra,6,0.32747327696468914,0.1823129636571455,0.30882994802701286,0.28457401444699854
Unknown,1,0.6442413017067974,NA,0.6442413017067974,0
