Life_S,n,mean,sd,median,IQR
Tetra,2,0.3199938028671844,0.04707488181813754,0.3199938028671844,0.03328696815716037
Carp,2,0.25038677264537174,0.020288465589866862,0.25038677264537174,0.014346111598464772
Gam/Tetra,7,0.2657981855114388,0.03812731988489045,0.26414691670931667,0.047376816842661595
Unknown,2,0.3772289304991419,0.01127452611890274,0.3772289304991419,0.007972293873340974
Gam,1,0.3296274513459121,NA,0.3296274513459121,0
