"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.260987903575015,0.198939565796499,-1.31189541170502,0.209279265311179
"ash_per_mean",2.27942820371815,0.660777107276624,3.44961739536158,0.00357464746780343
