"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.375696552995786,0.318714716600213,1.17878633595401,0.256844528805704
"carb_mg_per_g_mean",0.000489563225600581,0.00392881804256155,0.124608271571007,0.902488262434309
