Location,n,mean,sd,median,IQR
Mendieta,16,0.044136257875,0.04809656806396256,0.029423872,0.033547347
Concession,6,0.084265953,0.02928251915159243,0.0798843885,0.03631409675
Caro Caido,5,0.0425301234,0.024905062962434603,0.036609334,0.0032704269999999994
7H,8,0.029326942625,0.028540405077586883,0.020811371000000002,0.026316595499999998
Powder Ilo,3,0.101182379,0.03784120947194312,0.112733391,0.03649503700000001
Ilo Mariculture Powder,4,0.05297841575,0.03230501211449409,0.056376501999999995,0.031025366250000012
