"Statistic","Fluor1","Fluor2","Fluor3","Fluor4","PE1","PE2","PE3","PE4"
"Min.",0,0,6.33,0.67,0,0,0,0
"1st Qu.",5425,2583,8456.58,2154.92,0.01,0.01,0.01,0.01
"Median",11356,6337,15958.83,4393.67,0.01,0.01,0.01,0.02
"Mean",15257.96,8108.97,22470.98,7426.55,0.02,0.02,0.03,0.03
"3rd Qu.",22447.25,10052.5,24916.33,10365.42,0.02,0.02,0.03,0.03
"Max.",47848,45258,84905.33,38028.67,0.6,0.16,0.31,0.12
"NA's",NA,NA,4,1,NA,NA,NA,NA
