Location,n,mean,sd,median,IQR
Mendieta,6,0.2628971473864012,0.0408360490117273,0.25661675148241087,0.046814258602717845
Concession,2,0.3015610949657246,0.03621905877227561,0.3015610949657246,0.025610742066070225
7H,4,0.2876177066753099,0.05036791825628486,0.28057469731499396,0.05395169840287539
Powder Ilo,2,0.3772289304991419,0.01127452611890274,0.3772289304991419,0.007972293873340974
