"variety","n","mean","sd","median","IQR"
"C.Cham",17,34.7551765582628,7.91528082086601,34.8410733262455,9.9977524319409
"F. Glom",11,37.4703797579637,8.22157027826565,34.4455686302828,9.50919718443935
