Location,n,mean,sd,median,IQR
Mendieta,16,295.5955358024762,84.09341175061303,299.748560819707,115.277016783325
Concession,6,288.35985331257535,65.43905870110488,273.81914326651497,28.652482675491456
Carro Caido,5,312.6665612447232,74.25911288870321,270.616911424095,109.44445274758101
7H,7,309.957341489062,75.26759776638204,267.946733551104,115.58637616336853
Powder Ilo,3,283.349557017945,16.547341344283545,276.738163634424,15.52519287192547
Ilo Mariculture Powder,4,347.83712615876004,54.622864655020635,347.6538786943555,94.28569291267252
