"diff","lwr","upr","p adj","comparison"
0.0469606527893822,0.00509739941802222,0.0888239061607422,0.0218073666075819,"Concession-Mendieta"
0.0158601394286106,-0.0378662345961211,0.0695865134533423,0.938371365923343,"Caro Caido-Mendieta"
-0.0115366307515276,-0.0652630047762593,0.0421897432732041,0.98396504035853,"7H-Mendieta"
0.00397967706009927,-0.0497466969646324,0.057706051084831,0.999898850691344,"Ilo mariculture-Mendieta"
0.00258493198968081,-0.0511414420350509,0.0563113060144125,0.999988063042112,"Lima Market Oven Dry-Mendieta"
-0.0311005133607716,-0.0894269554692359,0.0272259287476927,0.573155788787184,"Caro Caido-Concession"
-0.0584972835409098,-0.116823725649374,-0.000170841432445522,0.0490411525207822,"7H-Concession"
-0.042980975729283,-0.101307417837747,0.0153454663791813,0.239458658107013,"Ilo mariculture-Concession"
-0.0443757207997014,-0.102702162908166,0.0139507213087629,0.211292614694963,"Lima Market Oven Dry-Concession"
-0.0273967701801382,-0.0947463442845282,0.0399528039242517,0.801691158222912,"7H-Caro Caido"
-0.0118804623685114,-0.0792300364729013,0.0554691117358786,0.993417337624505,"Ilo mariculture-Caro Caido"
-0.0132752074389298,-0.0806247815433198,0.0540743666654601,0.989071727244874,"Lima Market Oven Dry-Caro Caido"
0.0155163078116268,-0.0518332662927631,0.0828658819160168,0.97815203255272,"Ilo mariculture-7H"
0.0141215627412084,-0.0532280113631816,0.0814711368455983,0.985576598815236,"Lima Market Oven Dry-7H"
-0.00139474507041846,-0.0687443191748084,0.0659548290339715,0.999999821470599,"Lima Market Oven Dry-Ilo mariculture"
