"variety","n","mean","sd","median","IQR"
"C.Cham",17,0.0430957282026223,0.0458902661676497,0.0287192614118269,0.0199242846881578
"F. Glom",12,0.0350682421840248,0.0300752650745269,0.0265867309661022,0.0379398038713603
