"join_id","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_11",34.0868831449488,0.347340173081387,0.121666666666667,0.694680346162773,2.18302223016733,0.0183112355329033,0.00568624070307733,0.0366224710658066,1.26036847223404,0.0105719967641163,0.0032829526005987,0.0211439935282327,0.0640428818582324,0.0527184499577384,0.0467362249568,0.0527184499577384,7.38100820919189,5.87177950835455,5.2054794520548,5.87177950835455,3,3,3,3,"3,4,5","3,4,5","3,4,5","3,4,5","1,2","1,2","1,2","1,2","B09, B10, E02, E03, E04",16.28,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
"Lab_12",41.6354037477699,0.544850122330797,0.183,1.08970024466159,0.520979945829984,0.0884451573141747,0.0274651294068194,0.176890314628349,0.300787911967338,0.0510638353838575,0.0158569998563551,0.102127670767715,0.0125129072600356,0.162329333681376,0.150082674354204,0.162329333681376,1.3719233315054,18.1251633389095,16.7577413479053,18.1251633389095,3,3,3,3,"1,2,3","3,4,5","3,4,5","3,4,5","4,5","1,2","1,2","1,2","B11, B12, E05, E06, E07",16.22,"Mixed (2025-05-30; 2025-06-07)",5,"R03","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
"Lab_13",40.2608473036679,0.389203694933164,0.134666666666667,0.778407389866328,1.17959965642658,0.0243834978080666,0.00757187779440036,0.0487669956161333,0.681042179173876,0.0140778190232719,0.004371625682868,0.0281556380465438,0.0292989277530459,0.0626497079177367,0.0562268153049531,0.0626497079177367,3.30978781730241,7.17079897523689,6.43564356435643,7.17079897523689,3,3,3,3,"1,3,4","3,4,5","3,4,5","3,4,5","2,5","1,2","1,2","1,2","C01, C02, E08, E09, E10",16.26,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Caro Caido","Marcona","C.Cham","many","Tetra","Yes"
"Lab_14",36.9828613915649,0.40745189676599,0.140333333333333,0.81490379353198,1.88926308994673,0.0591163156744724,0.0183575597506858,0.118232631348945,1.09076655355077,0.0341308207681556,0.0105987420637231,0.0682616415363111,0.0510848273729743,0.145087840168835,0.130813964969258,0.145087840168835,5.58432635054934,16.5972203545828,14.9643705463183,16.5972203545828,3,3,3,3,"1,4,5","3,4,5","3,4,5","3,4,5","2,3","1,2","1,2","1,2","C03, C04, E11, E12, F01",16.28,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Caro Caido","Marcona","C.Cham","CC10","Carp","Yes"
"Lab_15",26.3189537704639,0.226043302074955,0.084,0.452086604149911,2.38027531870879,0.0720314451278431,0.0223681320930768,0.144062890255686,1.37425259600194,0.041587374234678,0.012914247085207,0.0831747484693559,0.0904395873585228,0.318662152192228,0.266287286822343,0.318662152192228,10.4276929814222,36.5653922534372,30.5555555555556,36.5653922534372,3,3,3,3,"1,3,5","3,4,5","3,4,5","3,4,5","2,4","1,2","1,2","1,2","C05, C06, F02, F03, F04",16.44,"Mixed (2025-05-30; 2025-06-07)",5,"R03","Caro Caido","Marcona","C.Cham","CC11","Gam","No"
"Lab_16",33.2990904539937,0.267906823926732,0.097,0.535813647853465,2.83769720439795,0.0609587445201665,0.0189296944860009,0.121917489040333,1.63834524483781,0.0351945475581798,0.01092906420717,0.0703890951163596,0.0852184598951294,0.227537110203798,0.195151489546401,0.227537110203798,9.22671708591568,26.0435831372142,22.3367697594502,26.0435831372142,3,3,3,3,"1,4,5","3,4,5","3,4,5","3,4,5","2,3","1,2","1,2","1,2","C07, C08, F05, F06, F07",16.28,"Mixed (2025-05-30; 2025-06-07)",5,"R01","7H","Marcona","F. Glom","many","Carp",NA
"Lab_17",20.626955080917,0.178812662037053,0.0693333333333333,0.357625324074106,4.33607959231544,0.0476556575766539,0.0147986485869487,0.0953113151533077,2.50343671985096,0.0275140067302897,0.00854400374531753,0.0550280134605795,0.210214235465464,0.266511649867272,0.213442046927145,0.266511649867272,24.2395375166642,30.6156202110195,24.5192307692308,30.6156202110195,3,3,3,3,"1,3,5","3,4,5","3,4,5","3,4,5","2,4","1,2","1,2","1,2","C09, C10, F08, F09, F10",16.32,"Mixed (2025-05-30; 2025-06-07)",5,"R02","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_18",34.151217904568,0.273273942112858,0.0986666666666667,0.546547884225715,2.44430270266602,0.0966260160879975,0.0300055550412475,0.193252032175995,1.41121882336516,0.0557870563991265,0.0173237152802484,0.111574112798253,0.0715729292435886,0.3535866440134,0.304110355147779,0.3535866440134,7.99282381567902,35.7449196334787,30.7432432432432,35.7449196334787,3,3,3,3,"1,2,4","3,4,5","3,4,5","3,4,5","3,5","1,2","1,2","1,2","C11, C12, F11, F12, G01",16.62,"Mixed (2025-05-30; 2025-06-07)",5,"R04","7H","Marcona","F. Glom","many","Carp",NA
"Lab_19",42.1257707711724,0.41174559131489,0.141666666666667,0.82349118262978,2.8689400217217,0.108935312468987,0.0338279962949823,0.217870624937974,1.65638329382992,0.0628938319782255,0.0195306027670537,0.125787663956451,0.0681041549911529,0.264569469028453,0.238785856199875,0.264569469028453,7.67215646017347,29.9805804566528,27.0588235294118,29.9805804566528,3,3,3,3,"1,4,5","3,4,5","3,4,5","3,4,5","2,3","1,2","1,2","1,2","D01, D02, G02, G03, G04",16.06,"Mixed (2025-05-30; 2025-06-07)",5,"R04","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_20",27.113006083778,0.265759976652282,0.0963333333333333,0.531519953304565,2.45721166421124,0.00455415079780661,0.0014142135623731,0.00910830159561321,1.73751103057445,0.00322027091167518,0.001,0.00644054182335035,0.0906285218473585,0.0171363305158821,0.0146804176024889,0.0171363305158821,6.40840423671804,1.21172155124343,1.03806228373703,1.21172155124343,2,2,2,2,"2,3","2,3","2,3","2,3","1","1","1","1","G05, G06, G07",10.0333333333333,"2025-06-07",3,"R01","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
