"join_id","X564","X565","X592","X455"
"D06",0.00833333333333334,0.00833333333333334,0.000999999999999994,0.00733333333333333
"D07",0.00233333333333333,0.00133333333333333,-0.002,0.00333333333333333
"D08",0.00333333333333333,0.00333333333333333,-0.001,0.00533333333333334
"D09",0.0393333333333333,0.0393333333333333,0.014,0.0213333333333333
"D10",0.0353333333333333,0.0363333333333333,0.015,0.0233333333333333
"D11",0.0563333333333333,0.0573333333333333,0.016,0.0233333333333333
"E06",0.00533333333333334,0.00533333333333334,0.004,0.00433333333333333
"E07",0.00433333333333333,0.00433333333333333,0.003,0.00533333333333334
"E08",0.00433333333333333,0.00433333333333333,0.003,0.00533333333333334
"E09",0.00633333333333334,0.00633333333333334,0.006,0.00633333333333333
"E10",0.00633333333333334,0.00633333333333334,0.006,0.00633333333333333
"E11",0.00633333333333334,0.00633333333333334,0.005,0.00533333333333334
"E12",0.00433333333333333,0.00433333333333333,0.004,0.00433333333333333
"F01",0.00533333333333334,0.00533333333333334,0.004,0.00633333333333333
"F02",0.0123333333333333,0.0123333333333333,0.011,0.0123333333333333
"F03",0.0263333333333333,0.0273333333333333,0.026,0.0323333333333333
"F04",0.00433333333333333,0.00433333333333333,0.003,0.00533333333333334
"F05",0.00333333333333333,0.00333333333333333,0.00199999999999999,0.00533333333333334
"F06",0.00533333333333334,0.00533333333333334,0.004,0.00633333333333333
"F07",0.00533333333333334,0.00533333333333334,0.004,0.00533333333333334
"F08",0.00533333333333334,0.00533333333333334,0.004,0.00533333333333334
"F09",0.00533333333333334,0.00533333333333334,0.004,0.00433333333333333
"F10",0.00633333333333334,0.00633333333333334,0.005,0.00533333333333334
"F11",0.00633333333333334,0.00633333333333334,0.005,0.00633333333333333
"F12",0.00633333333333334,0.00633333333333334,0.005,0.00733333333333333
"G01",-0.00566666666666667,-0.00266666666666666,0.003,-0.00866666666666667
"G02",0.00333333333333333,0.00333333333333333,0.003,0.00533333333333334
"G03",0.00433333333333333,0.00433333333333333,0.003,0.00533333333333334
"G04",0.00533333333333334,0.00533333333333334,0.005,0.00633333333333333
"G05",0.00633333333333334,0.00633333333333334,0.006,0.00633333333333333
"G06",0.00633333333333334,0.00633333333333334,0.005,0.00633333333333333
"G07",0.00633333333333334,0.00633333333333334,0.005,0.00533333333333334
"G08",0.00533333333333334,0.00533333333333334,0.004,0.00533333333333334
"G09",0.00533333333333334,0.00533333333333334,0.003,0.00433333333333333
"G10",0.00533333333333334,0.00533333333333334,0.004,0.00433333333333333
"G11",0.00533333333333334,0.00533333333333334,0.004,0.00433333333333333
"G12",0.00633333333333334,0.00633333333333334,0.006,0.00633333333333333
"H01",0.00433333333333333,0.00433333333333333,0.003,0.00333333333333333
"H02",0.00533333333333334,0.00433333333333333,0.004,0.00433333333333333
"H03",0.00533333333333334,0.00533333333333334,0.005,0.00433333333333333
"H04",0.00433333333333333,0.00433333333333333,0.003,0.00433333333333333
"H05",0.00633333333333334,0.00633333333333334,0.005,0.00533333333333334
"H06",0.00633333333333334,0.00633333333333334,0.005,0.00733333333333333
"H07",0.00533333333333334,0.00533333333333334,0.004,0.00533333333333334
"H08",0.00533333333333334,0.00533333333333334,0.004,0.00533333333333334
"H12",0.00733333333333334,0.00733333333333334,0.006,0.00633333333333333
