"join_id","X564","X592","X455","X618","X645","X592[2]"
"G10",-0.0363333333333333,-0.0363333333333333,-0.0383333333333333,-0.037,-0.0343333333333333,-0.036
"G11",0.00166666666666667,0.00066666666666667,0.00166666666666667,-0.002,-0.000333333333333331,0
"G12",0.00166666666666667,0.00166666666666667,0.00166666666666667,0,0.00166666666666667,0.001
"H01",-0.000333333333333331,-0.00133333333333333,-0.000333333333333331,-0.002,-0.000333333333333331,-0.001
"H02",0.00066666666666667,-0.000333333333333331,0.00166666666666667,-0.002,-0.000333333333333331,0
"H03",0.00066666666666667,-0.000333333333333331,-0.000333333333333331,-0.003,-0.00133333333333333,0
"H04",-0.000333333333333331,-0.000333333333333331,0.00166666666666667,-0.001,0.00066666666666667,0
"H05",0.00066666666666667,-0.000333333333333331,0.00266666666666666,-0.001,0.00066666666666667,0
"H06",-0.000333333333333331,-0.000333333333333331,0.00166666666666667,-0.002,0.00066666666666667,0
"H07",-0.000333333333333331,-0.00133333333333333,0.00166666666666667,-0.003,-0.00133333333333333,-0.001
"H08",-0.000333333333333331,0.00066666666666667,-0.000333333333333331,-0.001,0.00066666666666667,0
"H09",0.00066666666666667,-0.000333333333333331,0.00066666666666667,-0.002,-0.000333333333333331,0
"H10",-0.000333333333333331,-0.000333333333333331,0.00166666666666667,-0.001,0.00066666666666667,0
"H11",0.00066666666666667,-0.000333333333333331,0.00166666666666667,-0.001,0.00066666666666667,0
"H12",-0.000333333333333331,-0.000333333333333331,0.00066666666666667,-0.002,-0.000333333333333331,0
