"join_id","Protein_mg_per_g_mean","Protein_mg_total_mean","X600_mean","con_mg_per_ml_mean","Protein_mg_per_g_sd","Protein_mg_total_sd","X600_sd","con_mg_per_ml_sd","Protein_mg_per_g_se","Protein_mg_total_se","X600_se","con_mg_per_ml_se","Protein_mg_per_g_cv","Protein_mg_total_cv","X600_cv","con_mg_per_ml_cv","Protein_mg_per_g_max_dev_pct","Protein_mg_total_max_dev_pct","X600_max_dev_pct","con_mg_per_ml_max_dev_pct","Protein_mg_per_g_n","Protein_mg_total_n","X600_n","con_mg_per_ml_n","Protein_mg_per_g_included_rows","Protein_mg_total_included_rows","X600_included_rows","con_mg_per_ml_included_rows","Protein_mg_per_g_excluded_rows","Protein_mg_total_excluded_rows","X600_excluded_rows","con_mg_per_ml_excluded_rows","join_ids","avg_sample_weight","replicate_date","replicate_count","Sample Code","Location","region","variety","Ind_ID","Life_S","Large Ind?"
"Lab_11",34.0868831449488,0.438760086185054,0.150055555555556,0.877520172370108,2.18302223016733,0.140764207208335,0.0437119146398494,0.28152841441667,1.26036847223404,0.0812702529239965,0.025237085684111,0.162540505847993,0.0640428818582324,0.320822726680215,0.291304873571747,0.320822726680215,7.38100820919189,37.0235995057091,33.6171788226583,37.0235995057091,3,3,3,3,345,145,145,145,12,23,23,23,"B09, B10, E02, E03, E04",16.28,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
"Lab_12",41.6354037477699,0.732878162784719,0.241388888888889,1.46575632556944,0.520979945829984,0.241205440966563,0.0749022202113702,0.482410881933127,0.300787911967338,0.139260026272048,0.0432448170019352,0.278520052544096,0.0125129072600356,0.329120791442406,0.310296884650095,0.329120791442406,1.3719233315054,37.8372723277056,35.6731875719218,37.8372723277056,3,3,3,3,123,245,245,245,45,13,13,13,"B11, B12, E05, E06, E07",16.22,"Mixed (2025-05-30; 2025-06-07)",5,"R03","Mendieta","Paracas","F. Glom","many","Gam/Tetra","No"
"Lab_13",40.2608473036679,0.389203694933164,0.134666666666667,0.778407389866328,1.17959965642658,0.0243834978080666,0.00757187779440036,0.0487669956161333,0.681042179173876,0.0140778190232719,0.004371625682868,0.0281556380465438,0.0292989277530459,0.0626497079177367,0.0562268153049531,0.0626497079177367,3.30978781730241,7.17079897523689,6.43564356435643,7.17079897523689,3,3,3,3,134,345,345,345,25,12,12,12,"C01, C02, E08, E09, E10",16.26,"Mixed (2025-05-30; 2025-06-07)",5,"R01","Caro Caido","Marcona","C.Cham","many","Tetra","Yes"
"Lab_14",36.9828613915649,0.513899740790808,0.173388888888889,1.02779948158162,1.88926308994673,0.155303973993898,0.0482269902916675,0.310607947987796,1.09076655355077,0.0896647911915955,0.0278438658270997,0.179329582383191,0.0510848273729743,0.302206756817799,0.278143487744318,0.302206756817799,5.58432635054934,33.2812322369862,30.6312079461711,33.2812322369862,3,3,3,3,145,234,234,234,23,15,15,15,"C03, C04, E11, E12, F01",16.28,"Mixed (2025-05-30; 2025-06-07)",5,"R02","Caro Caido","Marcona","C.Cham","CC10","Carp","Yes"
"Lab_15",26.3189537704639,0.403337106156627,0.139055555555556,0.806674212313254,2.38027531870879,0.235639308725038,0.0731737531369558,0.471278617450077,1.37425259600194,0.136046418324058,0.0422468860712367,0.272092836648117,0.0904395873585228,0.584224226157692,0.526219559115144,0.584224226157692,10.4276929814222,67.4210192779572,60.7271274470635,67.4210192779572,3,3,3,3,135,135,135,135,24,24,24,24,"C05, C06, F02, F03, F04",16.44,"Mixed (2025-05-30; 2025-06-07)",5,"R03","Caro Caido","Marcona","C.Cham","CC11","Gam","No"
"Lab_16",28.2331815970663,0.379721786137676,0.131722222222222,0.759443572275352,6.19266763017735,0.133487397483102,0.0414522259599776,0.266974794966204,3.57533832328477,0.0770689848702916,0.0239324538165022,0.154137969740583,0.219340055915654,0.351540002065363,0.314694250223364,0.351540002065363,25.0039295826835,40.5184515661353,36.2716153521721,40.5184515661353,3,3,3,3,245,245,245,245,13,13,13,13,"C07, C08, F05, F06, F07",16.28,"Mixed (2025-05-30; 2025-06-07)",5,"R01","7H","Marcona","F. Glom","many","Carp",NA
"Lab_17",20.626955080917,0.320683486090298,0.113388888888889,0.641366972180595,4.33607959231544,0.221240094047806,0.0687023235361022,0.442480188095612,2.50343671985096,0.127733027854039,0.0396653049875214,0.255466055708078,0.210214235465464,0.689901736896766,0.605899962591788,0.689901736896766,24.2395375166642,78.4383823615134,68.8878000979912,78.4383823615134,3,3,3,3,135,135,135,135,24,24,24,24,"C09, C10, F08, F09, F10",16.32,"Mixed (2025-05-30; 2025-06-07)",5,"R02","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_18",30.4376832738393,0.273273942112858,0.0986666666666667,0.546547884225715,4.11530334941107,0.0966260160879975,0.0300055550412475,0.193252032175995,2.37597149657945,0.0557870563991265,0.0173237152802484,0.111574112798253,0.135204224066163,0.3535866440134,0.304110355147779,0.3535866440134,15.4329176145744,35.7449196334787,30.7432432432432,35.7449196334787,3,3,3,3,123,345,345,345,45,12,12,12,"C11, C12, F11, F12, G01",16.62,"Mixed (2025-05-30; 2025-06-07)",5,"R04","7H","Marcona","F. Glom","many","Carp",NA
"Lab_19",42.1257707711724,0.637343459071689,0.211722222222222,1.27468691814338,2.8689400217217,0.284612327940209,0.0883814858272763,0.569224655880418,1.65638329382992,0.164321004150966,0.0510270746337571,0.328642008301931,0.0681041549911529,0.446560365355841,0.417440762238513,0.446560365355841,7.67215646017347,51.4247086978971,48.071372343217,51.4247086978971,3,3,3,3,145,145,145,145,23,23,23,23,"D01, D02, G02, G03, G04",16.06,"Mixed (2025-05-30; 2025-06-07)",5,"R04","7H","Marcona","F. Glom","many","Gam/Tetra",NA
"Lab_20",27.113006083778,0.265759976652282,0.0963333333333333,0.531519953304565,2.45721166421124,0.00455415079780661,0.0014142135623731,0.00910830159561321,1.73751103057445,0.00322027091167518,0.001,0.00644054182335035,0.0906285218473585,0.0171363305158821,0.0146804176024889,0.0171363305158821,6.40840423671804,1.21172155124343,1.03806228373703,1.21172155124343,2,2,2,2,23,23,23,23,1,1,1,1,"G05, G06, G07",10.0333333333333,"2025-06-07",3,"R01","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
"Lab_21",30.2180446581631,0.246438351182231,0.0903333333333333,0.492876702364463,1.34233149652621,0.0364332063824528,0.0113137084989848,0.0728664127649056,0.949171703793967,0.0257621672934014,0.00800000000000001,0.0515243345868028,0.0444215207076143,0.147839028331722,0.125244005523817,0.147839028331722,3.14107585229728,10.4537979457391,8.85608856088562,10.4537979457391,2,2,2,2,13,23,23,23,2,1,1,1,"G08, G09, G10",10.1333333333333,"2025-06-07",3,"R02","Powder Ilo","Ilo","C.Cham","many","Unknown",NA
