comparison,p adj
Carp-Tetra,0.9999999999999999
Gam-Tetra,0.18119658119658122
Gam/Tetra-Tetra,0.2533022533022533
Unknown-Tetra,0.2533022533022533
Gam-Carp,0.18119658119658122
Gam/Tetra-Carp,0.2533022533022533
Unknown-Carp,0.2533022533022533
Gam/Tetra-Gam,0.9999999999999999
Unknown-Gam,0.44737484737484734
Unknown-Gam/Tetra,0.4696969696969697
