Life_S,n,mean,sd,median,IQR
Gam/Tetra,42,0.14880752117043863,0.321938608635446,0.053828721295479304,0.05328198240197103
Carp,12,0.04219047121898488,0.05430553288257605,0.025432256105225752,0.012826504691330745
Unknown,3,0.1011823788354443,0.037841209708050196,0.112733390607102,0.03649503729902055
