"diff","lwr","upr","p adj","comparison"
0.0428326623843306,-0.0448196605812638,0.130484985349925,0.863979086768072,"Concession-Mendieta"
-0.00485543981151426,-0.0986661362785518,0.0889552566555233,0.99999999993786,"Caro Caido-Mendieta"
-0.0208687748699975,-0.10015328412816,0.0584157343881647,0.998667082535547,"7H-Mendieta"
0.0884056866890296,-0.0267920345258185,0.203603407903878,0.285173959879308,"Powder Ilo-Mendieta"
-0.010201323874277,-0.125399045089125,0.104996397340571,0.999999978930345,"Ilo mariculture-Mendieta"
0.0150206588724533,-0.100177062342395,0.130218380087301,0.999998713139499,"Lima Market Freeze Dry-Mendieta"
-0.0182910273501768,-0.133488748565025,0.0969066938646712,0.999990107173194,"Lima Market Oven Dry-Mendieta"
0.0128044474878136,-0.102393273727034,0.128002168702662,0.999999760938648,"Ilo Freeze Dry-Mendieta"
-0.0248632404218673,-0.213598123208303,0.163871642364569,0.999998567128244,"Ilo oven dry-Mendieta"
0.118703864182539,0.00350614296769133,0.233901585397387,0.0382703083414718,"Ilo Fresh-Mendieta"
0.149489848277557,-0.0392450345088794,0.338224731063993,0.244324815737705,"Lima Market Fresh-Mendieta"
-0.0476881021958448,-0.15856049530623,0.0631842909145403,0.936652188832604,"Caro Caido-Concession"
-0.0637014372543281,-0.162586593828511,0.0351837193198551,0.541943754331509,"7H-Concession"
0.045573024304699,-0.0838980371549452,0.175044085764343,0.984716139165871,"Powder Ilo-Concession"
-0.0530339862586076,-0.182505047718252,0.0764370752010367,0.954133463683203,"Ilo mariculture-Concession"
-0.0278120035118773,-0.157283064971521,0.101659057947767,0.999799810665511,"Lima Market Freeze Dry-Concession"
-0.0611236897345074,-0.190594751194152,0.0683473717251369,0.888031198218375,"Lima Market Oven Dry-Concession"
-0.030028214896517,-0.159499276356161,0.0994428465631273,0.999584622507453,"Ilo Freeze Dry-Concession"
-0.0676959028061979,-0.265466215954564,0.130074410342169,0.987697868109155,"Ilo oven dry-Concession"
0.0758712017982088,-0.0535998596614354,0.205342263257853,0.675557071354359,"Ilo Fresh-Concession"
0.106657185893226,-0.0911131272551402,0.304427499041593,0.774596469283882,"Lima Market Fresh-Concession"
-0.0160133350584832,-0.120396241901829,0.0883695717848622,0.999993046768407,"7H-Caro Caido"
0.0932611265005438,-0.0404560107925225,0.22697826379361,0.422331465973228,"Powder Ilo-Caro Caido"
-0.00534588406276273,-0.139063021355829,0.128371253230304,0.999999999996402,"Ilo mariculture-Caro Caido"
0.0198760986839676,-0.113841038609099,0.153593235977034,0.999994975882673,"Lima Market Freeze Dry-Caro Caido"
-0.0134355875386625,-0.147152724831729,0.120281549754404,0.999999918411915,"Lima Market Oven Dry-Caro Caido"
0.0176598872993279,-0.116057249993738,0.151377024592394,0.999998528834156,"Ilo Freeze Dry-Caro Caido"
-0.020007800610353,-0.220583506549953,0.180567905329247,0.999999924492944,"Ilo oven dry-Caro Caido"
0.123559303994054,-0.0101578332990128,0.25727644128712,0.094062033306355,"Ilo Fresh-Caro Caido"
0.154345288089071,-0.0462304178505286,0.354920994028671,0.281554980880114,"Lima Market Fresh-Caro Caido"
0.109274461559027,-0.0146846423524232,0.233233565470477,0.130697374370219,"Powder Ilo-7H"
0.0106674509957205,-0.11329165291573,0.134626554907171,0.999999984514641,"Ilo mariculture-7H"
0.0358894337424508,-0.0880696701689994,0.159848537653901,0.996910768942926,"Lima Market Freeze Dry-7H"
