"join_id","Xred"
"D06",13391.3333333333
"D07",5451.33333333333
"D08",5893.33333333333
"D09",47067.3333333333
"D10",41620.3333333333
"D11",71281.3333333333
"E06",-3.66666666666667
"E07",-4.66666666666667
"E08",-4.66666666666667
"E09",-3.66666666666667
"E10",-3.66666666666667
"E11",-3.66666666666667
"E12",-3.66666666666667
"F01",-3.66666666666667
"F02",12.3333333333333
"F03",24.3333333333333
"F04",-3.66666666666667
"F05",-5.66666666666667
"F06",-2.66666666666667
"F07",-3.66666666666667
"F08",-5.66666666666667
"F09",-2.66666666666667
"F10",-3.66666666666667
"F11",-5.66666666666667
"F12",-3.66666666666667
"G01",10.3333333333333
"G02",-2.66666666666667
"G03",-3.66666666666667
"G04",-2.66666666666667
"G05",8.33333333333333
"G06",-2.66666666666667
"G07",-4.66666666666667
"G08",-2.66666666666667
"G09",-3.66666666666667
"G10",-2.66666666666667
"G11",-3.66666666666667
"G12",-3.66666666666667
"H01",-5.66666666666667
"H02",-3.66666666666667
"H03",-3.66666666666667
"H04",-4.66666666666667
"H05",-2.66666666666667
"H06",-3.66666666666667
"H07",-3.66666666666667
"H08",-2.66666666666667
"H11",6.33333333333333
"H12",-4.66666666666667
