"join_id","Xred","X564","X565","X592","X455","ID","sample weight","Tray well","date","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample"
"A12",22108.3333333333,0.0303333333333333,0.0293333333333333,0.00933333333333333,0.0263333333333333,"Lab_43",25.5,"G12",2025-05-15,0.002112,0.003168,0.124235294117647
"B01",22362.3333333333,0.0283333333333333,0.0283333333333333,0.00933333333333333,0.0263333333333333,"Lab_44",24.4,"G13",2025-05-15,0.001872,0.002808,0.115081967213115
"B02",25078.3333333333,0.0293333333333333,0.0293333333333333,0.00933333333333333,0.0273333333333333,"Lab_44",25.5,"G14",2025-05-15,0.001968,0.002952,0.115764705882353
"B03",19310.3333333333,0.064,0.064,0.04,0.075,"Lab_44",25.5,"G15",2025-05-15,0.00204,0.00306,0.12
"B04",19042.3333333333,0.0193333333333333,0.0183333333333333,0.00433333333333333,0.0213333333333333,"Lab_45",25.6,"G16",2025-05-15,0.001392,0.002088,0.0815625
"B05",15418.3333333333,0.0603333333333333,0.0593333333333333,0.0323333333333333,0.0713333333333333,"Lab_45",25.2,"H1",2025-05-15,0.002424,0.003636,0.144285714285714
"B06",17070.3333333333,0.0223333333333333,0.0213333333333333,0.00733333333333334,0.0213333333333333,"Lab_45",27,"H2",2025-05-15,0.001464,0.002196,0.0813333333333333
"B07",9724.33333333333,0.01,0.01,0.003,0.018,"Lab_46",23.8,"H3",2025-05-15,0.00048,0.00072,0.0302521008403361
"B08",8634.33333333333,0.00933333333333333,0.00933333333333333,0.00233333333333333,0.0163333333333333,"Lab_46",25.4,"H4",2025-05-15,0.000504,0.000756,0.029763779527559
"B09",9136.33333333333,0.0293333333333333,0.0293333333333333,0.0123333333333333,0.0423333333333333,"Lab_46",23.2,"H5",2025-05-15,0.00132,0.00198,0.0853448275862068
"B10",16353.3333333333,0.0203333333333333,0.0203333333333333,0.00633333333333334,0.0243333333333333,"Lab_48",26.8,"H6",2025-05-15,0.001248,0.001872,0.0698507462686567
"B11",20264.3333333333,0.025,0.025,0.008,0.029,"Lab_48",24.7,"H7",2025-05-15,0.001536,0.002304,0.0932793522267207
"B12",17144.3333333333,0.0163333333333333,0.0163333333333333,0.00333333333333333,0.0183333333333333,"Lab_48",26.4,"H8",2025-05-15,0.0012,0.0018,0.0681818181818182
"C01",14739.3333333333,0.0163333333333333,0.0163333333333333,0.00533333333333334,0.0223333333333333,"Lab_49",23.6,"H9",2025-05-15,0.000912,0.001368,0.0579661016949153
"C02",14362.3333333333,0.0163333333333333,0.0153333333333333,0.00533333333333334,0.0243333333333333,"Lab_49",24.4,"H10",2025-05-15,0.000864,0.001296,0.0531147540983607
"C03",15738.3333333333,0.021,0.02,0.00899999999999999,0.022,"Lab_49",23.2,"H11",2025-05-15,0.001128,0.001692,0.0729310344827586
"C04",6428.33333333333,0.00833333333333333,0.00833333333333333,0.00233333333333333,0.0223333333333333,"Lab_50",23.9,"H12",2025-05-15,0.00024,0.00036,0.0150627615062761
"C05",3939.33333333333,0.00533333333333334,0.00533333333333334,0.00133333333333333,0.0153333333333333,"Lab_50",25.5,"H13",2025-05-15,0.000144,0.000216,0.00847058823529413
"C06",4578.33333333333,0.0123333333333333,0.0113333333333333,0.00633333333333334,0.0243333333333333,"Lab_50",24,"H14",2025-05-15,0.000288,0.000432,0.018
"C07",4863.33333333333,0.00899999999999999,0.00899999999999999,0.005,0.023,"Lab_51",23.3,"H15",2025-05-15,4.79999999999995e-05,7.19999999999993e-05,0.00309012875536477
"C08",8397.33333333333,0.0123333333333333,0.0113333333333333,0.00233333333333333,0.0253333333333333,"Lab_51",24.6,"H16",2025-05-15,0.000648,0.000972,0.0395121951219512
"C09",52700.3333333333,0.0463333333333333,0.0463333333333333,0.0113333333333333,0.0283333333333333,"Lab_70",199.7,"A01",2025-05-15,0.003792,0.005688,0.0284827240861292
"C10",57337.3333333333,0.0543333333333333,0.0553333333333333,0.0183333333333333,0.0433333333333333,"Lab_70",208.4,"A02",2025-05-15,0.00372,0.00558,0.0267754318618042
"C11",65563.3333333333,0.052,0.053,0.015,0.032,"Lab_70",15.895,"A03",2025-05-15,0.004032,0.006048,0.38049701163888
"C12",84905.3333333333,0.0713333333333333,0.0723333333333333,0.0153333333333333,0.0323333333333333,"Lab_71",16.32,"A04",2025-05-15,0.006312,0.009468,0.580147058823529
"D01",24430.3333333333,0.0333333333333333,0.0333333333333333,0.0173333333333333,0.0413333333333333,"Lab_71",21.6665,"A05",2025-05-15,0.001344,0.002016,0.0930468695913045
