"join_id","X564","X592","X455","X565","ID","sample weight","Tray well","date","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample"
"A02",-0.00066666666666667,-0.00166666666666666,-0.00166666666666666,-0.000333333333333331,"Blank02",NA,"A2",2025-05-06,0.000119999999999999,0.000179999999999999,NA
"A03",-0.00166666666666667,-0.00266666666666666,-0.000666666666666663,-0.00133333333333333,"Blank03",NA,"A3",2025-05-06,7.19999999999992e-05,0.000107999999999999,NA
"A04",0.0133333333333333,0.00833333333333334,0.0123333333333333,0.0126666666666667,"Lab_01",24.5,"A4",2025-05-06,0.000503999999999999,0.000755999999999998,0.0308571428571428
"A06",0.0113333333333333,0.00433333333333333,0.0133333333333333,0.0116666666666667,"Lab_01",24.1,"A6",2025-05-06,0.000624,0.000936,0.0388381742738589
"A07",0.00333333333333333,0.000333333333333338,0.00733333333333334,0.00366666666666667,"Lab_02",23.4,"A7",2025-05-06,0.000191999999999999,0.000287999999999999,0.0123076923076923
"A08",0.00333333333333333,-0.000666666666666663,0.00833333333333333,0.00366666666666667,"Lab_02",23.7,"A8",2025-05-06,0.000264,0.000396,0.0167088607594937
"A09",0.00133333333333333,-0.00166666666666666,0.00733333333333334,0.00166666666666667,"Lab_02",25.6,"A9",2025-05-06,0.000143999999999999,0.000215999999999999,0.00843749999999997
"A10",0.0113333333333333,0.00533333333333334,0.0183333333333333,0.0106666666666667,"Lab_03",23,"A10",2025-05-06,0.000408,0.000612,0.0266086956521739
"A11",0.00733333333333333,0.00133333333333334,0.0123333333333333,0.00766666666666667,"Lab_03",23.6,"A11",2025-05-06,0.000455999999999999,0.000683999999999999,0.0289830508474576
"A12",0.00833333333333333,0.00133333333333334,0.00833333333333333,0.00866666666666667,"Lab_03",26.9,"A12",2025-05-06,0.000671999999999999,0.001008,0.0374721189591078
"B01",0.0163333333333333,0.00633333333333334,0.0173333333333333,0.0156666666666667,"Lab_04",23.6,"A13",2025-05-06,0.000936,0.001404,0.0594915254237288
"B02",0.0103333333333333,0.00533333333333334,0.0223333333333333,0.0106666666666667,"Lab_04",24.2,"A14",2025-05-06,0.000192,0.000287999999999999,0.011900826446281
"B03",0.00133333333333333,-0.000666666666666663,0.00333333333333333,0.00166666666666667,"Lab_04",25.6,"A15",2025-05-06,0.000143999999999999,0.000215999999999999,0.00843749999999997
"B04",0.00433333333333333,0.000333333333333338,0.00733333333333334,0.00466666666666667,"Lab_05",26.4,"A16",2025-05-06,0.000311999999999999,0.000467999999999998,0.0177272727272727
"B05",0.0123333333333333,0.00633333333333334,0.0183333333333333,0.0116666666666667,"Lab_05",24.4,"B01",2025-05-06,0.000431999999999999,0.000647999999999999,0.0265573770491803
"B06",0.0653333333333333,0.0533333333333333,0.0733333333333333,0.0616666666666667,"Lab_05",24.4,"B02",2025-05-06,0.000959999999999999,0.00144,0.0590163934426229
"B07",0.0483333333333333,0.0283333333333333,0.0623333333333333,0.0476666666666667,"Lab_06",23.2,"B03",2025-05-06,0.001584,0.002376,0.102413793103448
"B08",0.0423333333333333,0.0253333333333333,0.0643333333333333,0.0416666666666667,"Lab_06",27.5,"B04",2025-05-06,0.001104,0.001656,0.0602181818181818
"B09",0.0133333333333333,0.00733333333333334,0.0213333333333333,0.0136666666666667,"Lab_06",26.3,"B05",2025-05-06,0.000383999999999999,0.000575999999999998,0.0219011406844106
"B10",0.00933333333333333,0.00433333333333333,0.0153333333333333,0.00966666666666667,"Lab_07",26.9,"B06",2025-05-06,0.000336,0.000503999999999999,0.0187360594795539
"B11",0.0183333333333333,0.00833333333333334,0.0223333333333333,0.0176666666666667,"Lab_07",25.9,"B07",2025-05-06,0.000863999999999999,0.001296,0.05003861003861
"B12",0.0153333333333333,0.00433333333333333,0.0173333333333333,0.0156666666666667,"Lab_07",25.3,"B08",2025-05-06,0.001008,0.001512,0.0597628458498023
"C01",0.0143333333333333,0.00633333333333334,0.0133333333333333,0.0136666666666667,"Lab_08",25.8,"B09",2025-05-06,0.000791999999999999,0.001188,0.0460465116279069
"C02",0.0123333333333333,0.00433333333333333,0.0113333333333333,0.0126666666666667,"Lab_08",25.5,"B10",2025-05-06,0.000791999999999999,0.001188,0.0465882352941176
"C03",0.0113333333333333,0.00433333333333333,0.0123333333333333,0.0116666666666667,"Lab_08",24.5,"B11",2025-05-06,0.000648,0.000972,0.0396734693877551
"C04",0.00833333333333333,0.00333333333333333,0.0123333333333333,0.00866666666666667,"Lab_09",23.4,"B12",2025-05-06,0.000384,0.000575999999999999,0.0246153846153846
"C05",0.0123333333333333,0.00433333333333333,0.0223333333333333,0.0126666666666667,"Lab_09",25,"B13",2025-05-06,0.000527999999999999,0.000791999999999999,0.0316799999999999
"C06",0.0303333333333333,0.0243333333333333,0.0373333333333333,0.0296666666666667,"Lab_09",26.2,"B14",2025-05-06,0.000408,0.000612,0.0233587786259542
"C07",0.0283333333333333,0.0123333333333333,0.0193333333333333,0.0246666666666667,"Lab_10",24.8,"B15",2025-05-06,0.001752,0.002628,0.105967741935484
"C08",0.0233333333333333,0.0123333333333333,0.0323333333333333,0.0236666666666667,"Lab_10",27,"B16",2025-05-06,0.00084,0.00126,0.0466666666666666
"C09",0.0233333333333333,0.0123333333333333,0.0403333333333333,0.0226666666666667,"Lab_10",24.5,"C1",2025-05-06,0.000647999999999999,0.000971999999999999,0.0396734693877551
"C10",0.0243333333333333,0.0163333333333333,0.0243333333333333,0.0236666666666667,"Lab_11",26.5,"C2",2025-05-06,0.000767999999999999,0.001152,0.0434716981132075
