"join_id","X455","X564","X592","X618","X645","X565","ID","sample weight","Tray well","date","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample"
"E11",0.008,0.005,0.004,0.004,0.002,0.005,"Lab_20",10,"D11",2025-05-06,2.4e-05,3.6e-05,0.0036
"E12",0.011,0.013,0.008,0.008,0.006,0.013,"Lab_20",9.8,"D12",2025-05-06,0.000528,0.000792,0.0808163265306122
"F01",0.01,0.013,0.005,0.006,0.003,0.013,"Lab_20",9.9,"D13",2025-05-06,0.00084,0.00126,0.127272727272727
"F02",0.011,0.016,0.008,0.008,0.004,0.013,"Lab_21",9.6,"D14",2025-05-06,0.000888,0.001332,0.13875
"F03",0.013,0.017,0.009,0.01,0.007,0.017,"Lab_21",10.2,"D15",2025-05-06,0.000864,0.001296,0.127058823529412
"F04",0.011,0.014,0.006,0.006,0.003,0.013,"Lab_21",9.7,"D16",2025-05-06,0.00084,0.00126,0.129896907216495
"F05",0.007,0.011,0.004,0.005,0.002,0.01,"Lab_22",10.8,"E1",2025-05-06,0.000768000000000001,0.001152,0.106666666666667
"F06",0.01,0.011,0.005,0.007,0.004,0.011,"Lab_22",9.7,"E2",2025-05-06,0.000600000000000001,0.000900000000000001,0.0927835051546393
"F07",0.01,0.015,0.007,0.008,0.003,0.014,"Lab_22",9.6,"E3",2025-05-06,0.000888,0.001332,0.13875
"F09",0.01,0.006,0.004,0.004,0.003,0.005,"Lab_38",10.5,"E5",2025-05-06,9.60000000000002e-05,0.000144,0.0137142857142857
"F10",0.024,0.014,0.007,0.006,0.007,0.009,"Lab_38",10.9,"E6",2025-05-06,0.000432,0.000648,0.0594495412844037
"F11",0.028,0.026,0.021,0.021,0.02,0.025,"Lab_39",10.5,"E7",2025-05-06,0.000432,0.000648000000000001,0.0617142857142858
"F12",0.023,0.015,0.011,0.011,0.009,0.014,"Lab_39",9.8,"E8",2025-05-06,0.000192,0.000287999999999999,0.0293877551020408
"G01",0.016,0.007,0.004,0.004,0.002,0.007,"Lab_39",9.2,"E9",2025-05-06,7.20000000000002e-05,0.000108,0.0117391304347826
"G06",0.124,0.078,0.066,0.063,0.058,0.075,"Lab_41",10.5,"E14",2025-05-06,4.80000000000014e-05,7.2000000000002e-05,0.00685714285714305
"G08",0.016,0.011,0.008,0.007,0.005,0.01,"Lab_42",10.2,"E16",2025-05-06,0.000168,0.000252,0.0247058823529412
"G10",0.057,0.037,0.032,0.03,0.027,0.037,"Lab_42",9.3,"F02",2025-05-06,3.12250225675825e-19,4.68375338513738e-19,5.03629396251331e-17
"G11",0.106,0.07,0.059,0.055,0.049,0.068,"Lab_43",10.5,"F03",2025-05-06,0.000192000000000001,0.000288000000000001,0.0274285714285715
"G12",0.142,0.1,0.085,0.079,0.071,0.099,"Lab_43",9.6,"F04",2025-05-06,0.000432000000000002,0.000648000000000002,0.0675000000000002
"H01",0.032,0.024,0.017,0.017,0.014,0.024,"Lab_43",9.1,"F05",2025-05-06,0.00048,0.00072,0.0791208791208791
"H02",0.028,0.022,0.016,0.015,0.013,0.022,"Lab_44",10,"F06",2025-05-06,0.000432,0.000647999999999999,0.0647999999999999
"H03",0.01,0.009,0.004,0.004,0.001,0.009,"Lab_44",9.4,"F07",2025-05-06,0.000456000000000001,0.000684000000000001,0.0727659574468086
"H04",0.017,0.011,0.007,0.007,0.006,0.011,"Lab_44",9.8,"F08",2025-05-06,0.000240000000000001,0.000360000000000001,0.0367346938775511
"H05",0.01,0.005,0.003,0.003,0.002,0.005,"Lab_45",10.3,"F09",2025-05-07,7.19999999999996e-05,0.000107999999999999,0.0104854368932038
"H06",0.008,0.005,0.003,0.004,0.003,0.004,"Lab_45",9.3,"F10",2025-05-07,0.000119999999999999,0.000179999999999999,0.0193548387096773
"H07",0.01,0.006,0.003,0.004,0.002,0.006,"Lab_45",10.1,"F11",2025-05-07,0.000192,0.000287999999999999,0.0285148514851485
"H08",0.005,0.004,0.003,0.003,0.002,0.004,"Lab_46",10.6,"F12",2025-05-07,7.19999999999994e-05,0.000107999999999999,0.0101886792452829
"H09",0.00899999999999999,0.005,0.002,0.003,0.001,0.005,"Lab_46",9,"F13",2025-05-07,0.000192,0.000287999999999999,0.0319999999999999
"H10",0.011,0.01,0.006,0.007,0.004,0.01,"Lab_46",10.3,"F14",2025-05-07,0.00036,0.000540000000000001,0.0524271844660195
"H11",0.013,0.01,0.006,0.006,0.004,0.01,"Lab_48",9.8,"F15",2025-05-07,0.000312,0.000468000000000001,0.0477551020408164
