Location,replicates,n_Carp,n_GamTet,F_Glom,Depth,obs_Protein_mg_per_g_mean,obs_PE_mg_per_g_sample_mean,obs_PE_pred_run2_mg_per_g_mean,obs_carb_mg_per_g_mean,obs_ash_per_mean,obs_car_per,obs_Kappa_Index,obs_Iota_Index,obs_Lambda_Index
7H,8,5,3,4,0–2 m,7,8,3,3,4,4,4,4,4
Caro Caido,5,2,3,0,0–2 m,5,5,5,5,5,5,5,5,5
Concession,6,0,6,0,0–2 m,6,6,6,6,6,6,6,6,6
Ilo Mariculture,3,0,3,0,0–2 m,3,3,3,2,2,3,2,2,3
Ilo mariculture,4,0,4,0,0–2 m,4,4,4,4,4,4,4,4,4
Mendieta,16,5,11,6,0–2 m,16,16,16,16,16,16,16,16,16
Powder Ilo,3,0,0,0,0–2 m,3,3,3,3,3,3,3,3,3
