Life_S,n,mean,sd,median,IQR
Gam/Tetra,11,0.28062575963636366,0.043071337608463746,0.275950353,0.05949634800000003
Carp,3,0.275981794,0.046595346247525836,0.264732884,0.04556558799999999
Unknown,3,0.375557287,0.008481782809257682,0.372214,0.00797229350000006
