region,n,mean,sd,median,IQR
Paracas,8,487.6089846006146,68.60927424859959,494.6512657136206,68.92687739587257
Marcona,6,505.3091866339461,93.00917789298312,494.5352345247911,148.753565668955
Ilo,3,445.76832620913564,31.31088529208712,429.6609684975617,28.03188021588619
