Location,n,mean,sd,median,IQR
Mendieta,7,0.2910025381015124,0.1713742013643625,0.33937602887800233,0.3108229780234791
Concession,3,0.18905650038398525,0.10832569153565999,0.22035930536959691,0.10487876928484396
Caro Caido,4,0.42841675045078287,0.17576919411383202,0.4027604141293888,0.2661604403534382
7H,4,0.4648237831236595,0.09694631244416894,0.47706182215007426,0.10554183247317278
Powder Ilo,1,0.6442413017067974,NA,0.6442413017067974,0
