"variety","n","mean","sd","median","IQR"
"C.Cham",4,0.308586985331029,0.0401752779002504,0.308167143027968,0.0543274341720431
"F. Glom",6,0.248917628282588,0.028383637942048,0.242270639883946,0.0289512431399941
