Life_S,n,mean,sd,median,IQR
Gam/Tetra,13,0.2976608998668699,0.17279084063612235,0.278283867176023,0.30965265710883
Carp,5,0.4615115407782004,0.10476845523129077,0.4443025707415,0.005745031286809976
Unknown,1,0.644241301706797,NA,0.644241301706797,0
