region,n,mean,sd,median,IQR
Paracas,8,0.2637517796522576,0.03493074369676356,0.2607069421219185,0.0348393647080035
Marcona,6,0.3008024167941383,0.044038211906084014,0.312087157476233,0.054811030019639495
Ilo,3,0.375557286999428,0.008481783160003486,0.372214,0.007972293873340974
