"join_id","Xred"
"A01",2383.66666666667
"A02",1292.66666666667
"A03",462.666666666667
"A04",826.666666666667
"A05",4296.66666666667
"A07",2843.66666666667
"A08",7853.66666666667
"A09",1528.66666666667
"A10",1263.66666666667
"A11",2209.66666666667
"A12",3645.66666666667
"B01",10715.6666666667
"B02",12694.6666666667
"B03",4209.66666666667
"B04",3705.66666666667
"B05",2515.66666666667
"B06",2527.66666666667
"B08",1618.66666666667
"B11",2477.66666666667
"C01",5670.66666666667
"C02",13520.6666666667
"C03",3436.66666666667
"C04",2481.66666666667
"C05",1577.66666666667
"C06",1211.66666666667
"C07",6724.66666666667
"C08",19400.6666666667
"C09",4871.66666666667
"C12",4490.66666666667
"D03",2285.66666666667
"D04",1276.66666666667
"D06",2136.66666666667
"D08",11558.6666666667
"D09",3421.66666666667
"D10",17873.6666666667
"D11",997.666666666667
"D12",1036.66666666667
"E06",7196.66666666667
"E11",2949.66666666667
"F01",10125.6666666667
"F06",8876.66666666667
"F07",5764.66666666667
"F08",5998.66666666667
"F10",5831.66666666667
"F11",3334.66666666667
"F12",7373.66666666667
"G01",8044.66666666667
"G09",0.666666666666666
"G10",0.666666666666666
"G11",0.666666666666666
"G12",1.66666666666667
"H02",0.666666666666666
"H06",0.666666666666666
"H07",0.666666666666666
"H10",0.666666666666666
