variety,n,mean,sd,median,IQR
C.Cham,24,0.052085496098828774,0.04529610629773319,0.03575670628932725,0.04743051343980813
F. Glom,10,0.0390412335165488,0.03158741567870529,0.0328706930392565,0.04511289510537665
