Location,n,mean,sd,median,IQR
Mendieta,11,0.03730530029375351,0.026251138137722074,0.0340425831878114,0.03857681211157961
Concession,6,0.08426595308313571,0.02928251922339968,0.0798843887998206,0.036314096916807606
Caro Caido,3,0.053165439722364136,0.027331744363517336,0.0381745048047147,0.024051572769234045
7H,3,0.02576866954222592,0.031692944845783604,0.0118288084284969,0.02930363385478566
Ilo mariculture,4,0.052978415390618976,0.03230501206977697,0.0563765017517981,0.031025365887346473
Ilo Mariculture,3,0.05353763731602367,0.034415502989834854,0.0519516806722689,0.03438808517766625
