"Life_S","n","mean","sd","median","IQR"
"Tetra",3,31.0522188451875,11.5777549449054,34.8410733262455,11.1030556990094
"Carp",10,36.2089076681876,7.67079204218959,37.4192784984826,11.5763762388641
"Gam",8,35.313810670182,9.64514196600525,32.4596427703717,18.2079594119042
"Gam/Tetra",16,35.8967910366889,7.74941190022439,33.3968775989906,10.6551597876969
"Unknown",3,28.3349557017945,1.65473413442836,27.6738163634424,1.55251928719255
