join_id,run,PE_mg_per_g_sample,PE_pred_run2_mg_per_g,diff,diff_abs
G07,4,Inf,0.0026751092294048794,Inf,Inf
G06,4,0.5392156862745096,0.20310389102837725,0.33611179524613233,0.33611179524613233
B09,1,0.006857142857142859,0.22359703871115455,-0.21673989585401168,0.21673989585401168
B07,1,0.23760000000000053,0.04169905174783882,0.1959009482521617,0.1959009482521617
G04,4,0.33816369780628885,0.1586215507516588,0.17954214705463006,0.17954214705463006
E01,3,0.4976429596228735,0.33277026429630924,0.1648726953265643,0.1648726953265643
D02,1,0.10999999999999997,0.254855896552531,-0.144855896552531,0.144855896552531
C12,3,0.5897058823529412,0.45016358743891904,0.13954229491402215,0.13954229491402215
C03,1,0.12932038834951462,0.2388127397039136,-0.10949235135439897,0.10949235135439897
G03,4,0.22417435783387082,0.11857163324421996,0.10560272458965086,0.10560272458965086
H06,2,0.3440322580645159,0.24120551014059963,0.10282674792391625,0.10282674792391625
D03,1,0.10145454545454546,0.2022307582038303,-0.10077621274928483,0.10077621274928483
F01,1,0.1272727272727273,0.22455098463415052,-0.09727825736142323,0.09727825736142323
G12,1,0.06750000000000024,0.16358804269329713,-0.09608804269329689,0.09608804269329689
F03,1,0.12705882352941178,0.22264309278815858,-0.0955842692587468,0.0955842692587468
F06,1,0.09278350515463928,0.18680424043250862,-0.09402073527786935,0.09402073527786935
A09,1,0.02057142857142851,0.11382474211358436,-0.09325331354215585,0.09325331354215585
F05,1,0.10666666666666677,0.19782995795133504,-0.09116329128466827,0.09116329128466827
F04,1,0.12989690721649486,0.2170617185757125,-0.08716481135921764,0.08716481135921764
H02,1,0.06479999999999994,0.1469545988647043,-0.08215459886470436,0.08215459886470436
