"sample ID","sample weight","tray well","join_id","date","X455","X564","X592","X618","X645","X565","diff_absorbance","PE_mg_per_mL","total_PE_mg","PE_mg_per_g_sample","Xred"
"Lab_50",24.9,48,"D12","29/05/25",0.028,0.021,0.015,0.012,0.01,0.019,-0.00199999999999999,0.000408,0.000611999999999999,0.024578313253012,1036.66666666667
"Lab_57",24.3,49,"E01","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20411.6666666667
"Lab_57",26.1,50,"E02","29/05/25",0.012,0.006,0.004,0.003,0.002,0.006,0,4.80000000000002e-05,7.20000000000003e-05,0.00275862068965518,22100.6666666667
"Lab_58",26,51,"E03","29/05/25",0.015,0.008,0.005,0.005,0.003,0.008,0,0.00012,0.00018,0.00692307692307694,10979.6666666667
"Lab_59",27,53,"E05","29/05/25",0.011,0.006,0.004,0.003,0.002,0.006,0,7.19999999999994e-05,0.000107999999999999,0.00399999999999997,10403.6666666667
"Lab_59",23.4,54,"E06","29/05/25",0.009,0.004,0.002,0.002,0,0.004,0,7.19999999999994e-05,0.000107999999999999,0.00461538461538458,7196.66666666667
"Lab_60",23.3,55,"E07","29/05/25",0.013,0.006,0.00199999999999999,0.00199999999999999,0.000999999999999994,0.006,0,0.000216,0.000324000000000001,0.0139055793991417,9859.66666666667
"Lab_62",23,60,"E12","29/05/25",0.014,0.013,0.008,0.007,0.005,0.013,0,0.000456,0.000683999999999999,0.0297391304347826,8243.66666666667
"Lab_63",23.2,61,"F01","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10125.6666666667
"Lab_63",23.9,62,"F02","29/05/25",0.014,0.016,0.008,0.007,0.003,0.013,-0.003,0.000816,0.001224,0.0512133891213389,16676.6666666667
"Lab_63",23.2,63,"F03","29/05/25",0.016,0.017,0.009,0.009,0.006,0.017,0,0.000792,0.001188,0.0512068965517241,14227.6666666667
"Lab_63",24.1,64,"F04","29/05/25",0.015,0.015,0.007,0.006,0.003,0.014,-0.001,0.000768,0.001152,0.0478008298755187,16765.6666666667
"Lab_63",24,65,"F05","29/05/25",0.011,0.012,0.005,0.005,0.002,0.011,-0.001,0.000696000000000001,0.001044,0.0435,11399.6666666667
"Lab_63",23.8,66,"F06","29/05/25",0.013,0.011,0.005,0.006,0.003,0.011,0,0.000528000000000001,0.000792000000000001,0.0332773109243698,8876.66666666667
"Lab_64",23.1,67,"F07","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5764.66666666667
"Lab_64",23.9,69,"F09","29/05/25",0.013,0.006,0.004,0.003,0.002,0.005,-0.001,2.40000000000002e-05,3.60000000000003e-05,0.00150627615062763,4174.66666666667
"Lab_64",26.8,70,"F10","29/05/25",0.028,0.015,0.008,0.006,0.007,0.01,-0.005,0.00036,0.00054,0.0201492537313433,5831.66666666667
"Lab_64",23,71,"F11","29/05/25",0.032,0.027,0.022,0.021,0.02,0.026,-0.001,0.00036,0.00054,0.0234782608695652,3334.66666666667
"Lab_64",23.5,72,"F12","29/05/25",0.026,0.015,0.011,0.01,0.008,0.014,-0.001,0.00012,0.000179999999999999,0.00765957446808508,7373.66666666667
"Fresh_1",94.3,73,"G01","29/05/25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8044.66666666667
"BLANK_02",0,80,"G08","29/05/25",0.019,0.011,0.008,0.006,0.004,0.01,-0.001,9.60000000000002e-05,0.000144,Inf,NA
